symptoms	sentences
hiccup,abdominal distention	Hello, if an elderly person is suffering from bulimia, he/she can take digestive and gastrointestinal dynamics such as digestive enzymes and Megapolis, and if the symptoms are not alleviated for a week or so, the stomach mirrors should be reviewed periodically.
abdominal distention,abdominal pain	Does your stomach hurt? Is it swelling?
gastrointestinal discomfort	Keep warm, don't get cold, it's more likely to cause intestinal discomfort.
difficult eating,indigestion,abdominal distention	Well, first, you don't eat too much meat at night, it's hard to digest, it's easy to swell.
stomach ache	One is a stomach ache, one is a gastrointestinal worm.
indigestion	Hello, you are often in a state of indigestion, mostly due to the lack of attention given to diets in life, and if dinging increases stomach power, it improves when you take medication, but it's only treatment, and it's possible that there will be symptoms after you stop taking medication.
counter-current,stomach ache,hot heart	Are there anti-acid heartburn at the moment? Are there stomach pains?
abdominal pain	How many times a day? Any abdominal pains every time?
gastrointestinal dysfunction	This has to do with gastrointestinal disorders.
dysbacteriosis	You can eat the whole intestinal body, which improves the intestinal strain.
dysbacteriosis	The whole intestinal system improves intestinal disorders, which have little effect on the body.
heat	Is there a fever?
urgent urination,frequent urination	How old are you? Do you have any urinal pains?
hiccup,counter-current	Any anti-acid hiccups?
indigestion	Oh, it's supposed to be indigestion. It's basically normal. It's not a problem.
bowel sound	Hello, when you eat, the gastrointestinal moves, the process of digestion and absorption is completed, and the vibrating sounds normal, called intestines.
abdominal distention,abdominal pain	Is it a pain in the stomach?
hemorrhoid	Hello, how long has this been going on? Was there hemorrhoids before?
abdominal pain	What are you doing?
abdominal pain	What are you doing?
diarrhea	It is not a big problem, it is more common, and the treatment of diarrhea by Chinese medicine is very effective and does not have to worry too much.
diarrhea	Solid food can be eaten, which reduces the frequency of diarrhea.
gastrointestinal dysfunction	At the moment, your symptoms are mainly due to intestinal disorders.
gastrointestinal dysfunction	The intestinal function is disrupted and the medication taken at least two weeks to be effective.
diarrhea	Diarrhea and constipation?
dysbacteriosis	Well, I think it's an intestinal disorder.
diarrhea	How many times a day do I have to take a shit?
restlessness	Mm-hmm. Are you anxious?
restlessness	If you're having an anxiety intestinal problem.
restlessness	There's no tension and anxiety in this time.
spasms	It's probably a bacterium spasm.
gastrointestinal dysfunction	Hello, there should be gastrointestinal disorders. There could be stomach inflammation.
difficult eating	Take the medication first, and if not, then go to the hospital for digestive surgery for gyroscopes.
heat	Is there a fever now? Is there still a cold?
gastrointestinal discomfort	It might have an irritation of the stomach. But it's still mainly the cold. Was the gastrointestinal comfort?
disgusting,counter-current	Hello, do you have any anti-acid, nausea symptoms?
abdominal distention	This is a normal phenomenon when the stomach is in a food-filled state after eating, and if the digestive function of sitting down or lying on the stomach is affected, it is a gastric swelling.
abdominal distention	Hello! What exactly is the position of the left tummy?
seung jo	Skin etchings are generally caused by allergies.
helicobacter infection	Or blow the gas to re-examine the stomach phantom snails.
indigestion	Hello. What's the specific case of bad digestion?
disgusting,abdominal distention,abdominal pain	Are there any abdominal pains, abdominal swelling, nausea? Hello, are you still there?
ventilation,abdominal distention	Recommendation: For farts that do not normally need to be dealt with, if there is abdominal swelling, a combination digestive enzyme may be considered.
abdominal pain	Can you describe the abdominal pain?
heat,disgusting,abdominal pain	Is there a fever, nausea, abdominal pain in the lower right?
abdominal pain	Press yourself to the lower right. Does it hurt?
abdominal distention	What you eat at lunch is easy to cause gas.
indigestion,abdominal distention	Then you're suddenly swollen to the gastrointestinal indigestion.
gastrointestinal discomfort	There's no abdominal discomfort. It's better if you're done with the defecation.
diarrhea,heat	Hello, there's a fever, diarrhea or nothing.
difficult eating	Have some greasy rice. Because of the heat, people have less appetite.
diarrhea	Slutty is for diarrhea.
helicobacter infection	Hp is a phantom screw. It means the stomach mucous membrane is mildly decompressed.
helicobacter infection	Your phantom screws negative. It doesn't matter much to the stomach. Drink more water.
counter-current,hot heart	Do you have an anti-acid heart?
hemorrhoid	Hello. How long has this been going on? Has hemorrhoids?
hemorrhoid	I can't help it.
gastrointestinal dysfunction,loose stool,abdominal pain	But abdominal pain after dinner, and a feces, is a manifestation of intestinal dysfunction.
hemorrhoid	I'm sorry, I'm sorry, I'm sorry.
helicobacter infection	It doesn't matter if there's a phantom screw.
helicobacter infection	Your husband can take medication to treat the phantom snails.
disgusting	No nausea, vomiting is good. It reacts in the early stages of pregnancy.
abdominal pain	A pain on the left side of the stomach?
diarrhea	And diarrhea?
spasms	Vi-U is a pain-free convulsion. Where's Qingdao?
stomach ache	What's wrong with you?
gastrointestinal dysfunction	Consider gastrointestinal dysfunction.
black poo,gastrointestinal discomfort	You're welcome. In response to this consultation, the doctor updated his summary recommendations: abdominal discomfort, a black-advice consultation, a recommendation to check the routine of defecation and a bathing blood test.
abdominal distention	It's just a little swollen right now, isn't it?
indigestion	Cut out the food, the thought of indigestion.
disgusting,counter-current	Hello. Is there a lot of nausea?
counter-current	I've seen your stomach mirror, combined with symptoms, considering the reflux of the stomach tube.
counter-current	Both cerebral reflux and stomach tube reflux exist, and the drugs are both above and need to continue to be eaten.
counter-current	In general, counter-flow diseases require more than three months of depressive acid, some of which are persistent or even longer.
counter-current	No, the reflux of the stomach is the reflux of the food in the stomach to the tube, and the reflux of the urchin is the reflux of the urchin to the stomach.
gastrointestinal discomfort	No, eat OC and Ritchie now, and if there's a stomach problem, you can use it temporarily.
heart attack,counter-current,gastrointestinal discomfort	Courage and stomach content reflux can stimulate the diet, cause panic, and Oak and Ricky eat normally for three days, and if it is caused by the reflux, it can be significantly improved and temporarily used when the stomach is not well.
counter-current	Reverse currents are sometimes difficult to control, and the general course of treatment is two to three months.
helicobacter infection	What's the phantom screw positive for? The antibody is still an exhalation test.
helicobacter infection	Adults are recommended for treatment on the basis of our consensus if they prove phantom scab positive. You've got liver damage, you've improved the best liver function before treating it.
helicobacter infection	You can leave it alone for a while, check out the pneumatic test for the phantom snails and decide whether to treat it.
hiccup,counter-current,hot heart	What's wrong with you?
blood in stool	How many times a day? There's blood in there. Is there a pus?
abdominal pain	Can the abdominal pain be alleviated?
gastrointestinal dysfunction	Consider the intestine disorder based on your symptoms, on the premise that it is dissipative. It's better to go to the hospital and check it with the usual light snow and intestinal mirrors. I'm sorry, it's submersible blood. Wrong pen.
gastrointestinal dysfunction	I'm sorry, I was busy. Intestine susceptibility is an intestine function disorder, not an instrumental disease. If you don't like it, go to the hospital and get rid of the intestinal inflammation.
abdominal pain	If you eat hot and cold and your stomach hurts, don't eat anything like this.
gastrointestinal discomfort	You shouldn't eat hot, cold stimulant food in your own right from the point of view of sustenance. It's not good for the stomach. Why don't you take care of it?
blood in stool	How long has it been this time? Is there blood on the feces or is it mixed in the feces?
hemorrhoid	You're in a situation where hemorrhoids are the first to be considered.
hemorrhoid	This is for hemorrhoids first.
hemorrhoid	You can drink more water when you eat.
indigestion,abdominal pain	The dumplings may be poorly digested and cause abdominal pain.
abdominal pain	However, if the abdominal pain continues unabated, the hospital can take a look at the abdominal B.
hemorrhoid	Well, check it out at the hospital. Maybe hemorrhoids are bigger.
blood in stool	He's bleeding when he hits the poop.
hemorrhoid	But in your case, you should start with hemorrhoids.
diarrhea	Some people who drink empty stomachs also cause low potassium, or diarrhea causes low potassium.
diarrhea,gastrointestinal discomfort	And you're not fit to eat too many bananas right now.
gastrointestinal dysfunction	Consider this intestinal dysfunction.
abdominal distention,abdominal pain	In the past few years, the country has been suffering from an abnormal abdominal abdominal abdominal sclerosis as a result of a greasy and cold stimulant irritation. Don't eat any more during.
abdominal pain	Hello. Aren't you skinny? Does your stomach hurt?
bowel sound	You're talking about the intestinal worm.
counter-current,hot heart	Do you have an anti-acid heart? Is the shit normal?
heat	Normal not. If the cold had a fever, the use of drugs could have an impact, but it would not necessarily rise.
black poo	Hello, big black to remove digestive bleeding.
seung jo	Are you allergic to drugs? Omelazepam, Task or something.
disgusting,abdominal distention,diarrhea,counter-current,hot heart	Do you have anti-acid burns, nausea vomiting? Abdominal diarrhea constipation.
hiccup,counter-current,abdominal distention	Do you have the hiccup anti-acid water? Do you have the abdominal swelling?
indigestion	There may be drug-related problems, and the cold itself may be indigestion. Take more rest and drink more water so that you can continue to eat your stomach absconds and not the rest.
heat	Hello, see if there's a fever. The temperature is measured.
cough	It's not a big problem. There's no big problem without coughing.
diarrhea,gastrointestinal discomfort	Hello, have you ever had symptoms like this before? You have diarrhea with your stomach? Do you have a free birth or a C-section?
gastrointestinal discomfort	Do you now breast-feed? Do you have stomach problems before giving birth?
indigestion,gastrointestinal discomfort	You've had some recent stomach indigestion, and you're breastfeeding, and a lot of drugs are out of place. There may still be a physiological change that needs to be adapted to improve symptoms by eating as much as possible some lightly nourished food and, if the stomach is really uncomfortable, a little acupuncture can be taken to alleviate the symptoms.
counter-current	There may also be reflux. You can eat a little Dixie.
abdominal pain	The abdominal pain is mainly in which part.
seung jo	I can't believe you're still here.
ventilation,abdominal distention	Hello. Nice to meet you. Did you fart too much in your belly?
indigestion,gastrointestinal discomfort	Considerations are caused by indigestion. How uncomfortable is the stomach.
abdominal distention,abdominal pain	Hello, abdominal pain no, abdominal pain no.
helicobacter infection	Hello, it's good to eat, it's good to see you. There's no phantom scab infection.
hiccup,diarrhea,stomach ache,counter-current,hot heart	Creature, anti-acid, gas, stomach pain, constipation, diarrhea?
abdominal distention	Considering that you're a symptom of an abnormal diet causing abdominal swelling. It's recommended that you two eat soft food easily.
diarrhea,abdominal pain	Abdominal pain, diarrhea. What's the history of the disease?
stomach ache,counter-current,abdominal distention	Well, do you have a stomach swollen and anti-acid in addition to stomach pains?
helicobacter infection	An oral treatment of Lansolazon and a cure for the symptoms can be found in Delhi. In addition, if repeated, it is recommended to check if there is a phantom snails infection, if any, which requires treatment at the root.
helicobacter infection	The phantom snails lead to a twelve finger ulcer, which can be tested for a blow-up, and the risk of repeated symptoms following treatment of the infection is very low. You can eat.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water? Abdominal swelling?
helicobacter infection	Carbon 13 is for the detection of phantom spiral bacterium. It's not like a gastric mirror.
indigestion	Your situation could be stomach inflammation, causing indigestion.
helicobacter infection	Well, check it out, see if the phantom rotor has been completely wiped out.
gastrointestinal discomfort	Hi, according to you, how long has it been given to consider dietary irregularities or irregularities, combined with gastrointestinal disorders caused by a lack of exercise?
indigestion	Okay. It is important to have a good diet and lifestyle, first three meals per day, on time and well, and not to eat hot, irritable and greasy foods, cold foods and foods that are not easy to digest, and to drink light and light food, and to eat less and less.
stomach ache	Hello. How long has it been? Any stomach ache?
diarrhea	How many times did you throw up?
abdominal pain	Note whether it is appendicitis, the intestinal abdominal pains are irregular and most are accompanied by digestive symptoms.
abdominal pain	There's usually peritoneal inflammation and anti-throating pains.
restlessness	Well, don't worry too much. It's not a big deal.
abdominal pain	An infection of the urinary system causes abdominal pain and treatment with anti-inflammation urinary pain medication.
urgent urination,frequent urination,abdominal pain	What's the location of the abdominal pain? Does it hurt? Does it hurt?
diarrhea,disgusting,abdominal distention,heat	Do you have nausea, vomiting, abdominal swelling, fever, diarrhea?
counter-current	From what you have said, a combination of stomach inflammation with mild reflux is considered.
gastrointestinal dysfunction	The gastrointestinal disorders, which are medically weak from the Chinese point of view, allow for the use of a few bacteria.
cough	Is it dry, itchy, coughing symptoms?
diarrhea,disgusting,abdominal pain	Hello! Do you have a stomachache? Disgusting vomiting? Diarrhea?
heat,disgusting	It's hot, disgusting.
diarrhea	You've got diarrhea.
seung jo	Have you had any allergies before?
seung jo	You're in a situation where allergies are considered to be possible. It is recommended that the medication be stopped. You switch to a twig.
seung jo	None of the previous medications had been taken because it was not certain what caused the allergies. Let's buy a scuffle. Plus a lot of demagogues.
diarrhea	If the diarrhea improves, it can be broken off from the truncheon.
diarrhea	Monochrome is dissipated, but the reason for your diarrhea is the need for oral antibiotics to treat the cause of the disease because of the infection.
cough	Have you got a cold? Cough and cough?
heat,sore throat	Temperatures, throat pains may be respiratory infections, and recent weather changes are frequent.
sore throat,chest pain	Did you take the shit off? What color is it? My head is drenched? My throat, my chest is painless.
cough	Have you been coughing lately?
chest pain,cough	Do you have a pain in the chest when you cough, or do you press the pain?
frustration	I feel like I've lost weight lately. I've lost my head. Furthermore, I've lost my strength.
abdominal pain	Girls, they're bleeding, they have stomach pains, they better go to the hospital.
black poo	If the shit gets dark, call me back.
abdominal pain	There's no stomach ache or something.
hiccup	Do you eat regularly? Do you like sweets? Hiccup?
indigestion	Hello. Indigestion therapy is a long process.
counter-current	If it comes back, the drugs you drink are effective, and if it comes from the inflammation, suggest you drink.
seung jo	Are you allergic?
seung jo	Have you had an allergy to your head?
seung jo	Allergies don't eat.
seung jo	He's got a lot of talent.
seung jo	Are you allergic to Muslin? You can eat all of them.
diarrhea,disgusting	Hello, can you ask her if she has diarrhea? There's no nausea.
abdominal distention	Feel the gastrointestinal swelling?
loose stool,counter-current,hot heart,hiccup	There's anti-acid, heartburn, breath. Is the shit thin?
stomach ache,abdominal distention	Stomach acid, stomach swollen, stomach ache?
diarrhea	How many times a day have you had a diarrhea?
loose stool	Is it shit like water?
diarrhea	Mm-hmm, but diarrhea.
abdominal pain	This is usually upper left abdominal pain.
diarrhea	Hello. Is there anything else that's not well? Are you having a diarrhea?
spasms	I'm sorry. I'm sorry. Furthermore, I'm sorry.
indigestion	There may be indigestion. They've all taken some medication.
abdominal distention	Does it work? It's been a few days since your stomach swollen. Have you eaten anything unclean?
indigestion	You can take a little digestive symptom with a dinging.
spasms	I don't know what you're talking about.
gastrointestinal discomfort	I don't think I'd recommend to anyone who's having a bad stomach to go to a stomach mirror, no matter what the disease is, it's really the best way to diagnose it.
counter-current	You're so concerned about the backsliding of the stomach tubes.
diarrhea,loose stool,abdominal pain	Do you have tummy pains? Did you find intestinal inflammation in front? Did you get diarrhea? Did you get edible food in front?
loose stool,gastrointestinal discomfort,abdominal pain,sticky stool,dysbacteriosis	There is no need to use the head sturgeon, or intestinal inflammation, which is usually oxyfluramid antibiotics, and which is not good for the head sturgeon, and which is not caused by intestinal inflammation, but rather by bad gastrointestinal functioning (intestinal bacteria disorders), which can be reconciled with Opera salmon, whole intestinal intestine, intestinal inflammation.
counter-current	You're a gastric reflux.
disgusting,abdominal distention,diarrhea,urgent urination,frequent urination,abdominal pain,counter-current,hot heart	Are there anti-acid burns, nausea, diarrhea, diarrhea?
abdominal pain	My stomach aches.
counter-current	Hello, according to your description, it is clear that an improper diet irritating the stomach leads to acute gastric inflammation, a affluence of stomach acid, which allows for the eating of Melamine, Stash, a temporary light diet, no cold and exciting food, no drinking, no coffee, no staying overnight, one or two days of observation, and medical treatment if there is no improvement.
diarrhea	Did you eat bad food or did you eat cold food for diarrhea?
diarrhea	You can breastfeed, but be careful to see if the baby has diarrhea.
blood in stool	Do you have blood or puss?
bowel sound	I'm sorry, I'm sorry.
gastrointestinal dysfunction,indigestion	I think you're an intestinal hyperplasia, indigestion or gastrointestinal dysfunction.
abdominal distention,abdominal pain	Mm-hmm. Is it obvious that the abdominal abdominal swelling?
gastrointestinal dysfunction,abdominal distention,abdominal pain	There's no obvious abdominal swelling, considering intestinal dysfunction, not inflammation!
loose stool	In view of age, attention should be paid to the inflammation of the ravine due to the weakness of the spleen.
gastrointestinal discomfort	No, it's not. A lot of people have bad stomachs.
diarrhea,disgusting	Hello. Is it still disgusting today? Are you having a diarrhea?
hunger,disgusting	If there was no nausea today, the symptoms were completely improved and hunger was normal, it would be too much to eat at once.
hunger,disgusting	Yesterday, nausea damaged the mucous membrane of the stomach, and today it feels that hunger is still related to the mucous membrane of the stomach.
gastrointestinal discomfort,abdominal pain	How long has this been going on? How many times a day's shit? Are there other abdominal pains?
hiccup	Uh-huh. Isn't it better after the hiccup?
indigestion	There are a number of dietary concerns for your information, and it is hoped that you will be able to benefit from a regular diet at three meals per hour, chewing slowly and refusing to swallow. Three meals a day, balanced.2. To minimize the consumption of irritant foods such as peppers, garlic or hot foods,3 high cholesterol foods such as egg yellow, fat, seafood, and animals'internal organs.4. Production of gas foods, such as onions, as little as possible. Foods that are not easily digestible, such as tomatoes, are also less suitable.5. Fresh fruits and vegetables, food supplements, vitamin supplements necessary for the human body and the protection of cellulose in the intestinal tract. Take care of the rest, try not to stay up overnight, adjust mindsets and stay in good moods. I hope I can help you.
anemia	Are you anemic?
counter-current,hot heart	Do you have an anti-acid heart?
diarrhea,abdominal pain	Any abdominal diarrhea?
helicobacter infection	Yeah. It's a way to check out the phantom screws.
gastrointestinal dysfunction,indigestion	Spicy, garlic and other irritant foods, cold foods, too much food can cause gastrointestinal dysfunction, which is supposed to be indigestion.
indigestion	After dietary control, there has been a marked improvement in the symptoms, which is not a problem. However, if the symptoms of the digestive tract continue to be repeated, the digestive path will need to be improved.
gastrointestinal discomfort	In some cases, hot pots are bad for the stomach and cannot be said not to eat, but they have to be controlled, unable to feed themselves, and they do not stimulate food, such as hot or garlic.
diarrhea	Hello, how many times have you had a diarrhea?
seung jo	Drinkable, allergies and, in some cases, less painful situations, may lead to a low level of shit. Not too patient.
abdominal pain	This little abdominal pain has something to do with the flow.
gastrointestinal dysfunction,spasms	At present, it is possible to cause intestinal convulsions due to gastrointestinal dysfunction.
helicobacter infection	The positive status of phantom bacterium requires treatment against phantom bacillus.
helicobacter infection	Spirulina can be transmitted via saliva. Drug use, however, can be eradicated.
hemorrhoid	Was there a hemorrhoid before?
hemorrhoid	This anal hemorrhage, which is common, is either anal fracture or hemorrhaging. Anal fractures such as yours, which are supposed to be caused by poop, need to remain open, drink more water, eat more vegetables and vegetables, and be able to eat honey, so that the poop is not so hard. Especially when you breastfeed, you usually do not need medication. Anal blood is good, you can heal yourself, and it's usually good for three or five days. If hemorrhage is repeated and hemorrhage is repeated, he has to check the anal intestine and see if hemorrhagic hemorrhagic conditions require medication.
hemorrhoid	(you u u u up)
gastrointestinal dysfunction,hemorrhoid	This should cause intestinal irritation to cause intestinal inflammation or functional disorders to combine hemorrhoids.
hemorrhoid	This is the first time in the history of the world that the world has ever seen a world where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country where it's a country. The blood spray is mainly hemorrhoids.
hemorrhoid	There may be. Hemorrhoids are mixed with hemorrhoids outside the hemorrhoid.
seung jo	Your urinal problems may all be related to your pelvic muscle problems, your senses of senility, etc.
disgusting	Are you dizzy, sick, standing up?
abdominal pain	Hello. Where's the specific part of the abdominal pain?
gastrointestinal dysfunction	This situation takes into account gastrointestinal disorders.
gastrointestinal dysfunction	Gastrointestinal disorders can be caused by functional diseases or by intestinal inflammation.
diarrhea,gastrointestinal discomfort,abdominal pain	My stomach aches.
diarrhea	There's no getting cold. I'm having a diarrhea. Any other symptoms?
heat	Did you check it out? There's no possum. There's no fever.
hiccup,counter-current,hot heart	There's no anti-acid, burning, hiccups.
counter-current	Yes. If you're good at anti-acids in the morning, the Victor at night can be reduced to half an hour before bed.
counter-current	If the anti-acid is not serious, the rubella can only eat half an hour before dinner, and if the anti-acid symptoms are apparent, half an hour before breakfast.
helicobacter infection	There's no phantom screw infection.
helicobacter infection	Repeated ulcers are often associated with phantom snails.
hemorrhoid	I'm going to have to go to the hospital.
hemorrhoid	(you u u u u up)
hemorrhoid	Don't worry, it's okay. Hemorrhaging.
heat	You're welcome. In general, care must be taken to exercise and to eat low-calories, low-fat, high-protein foods, and not to drink.
sticky stool	Is there any mucus blood in the shit?
disgusting,abdominal distention,heat,counter-current,hot heart	Have you ever had a heart attack, nausea, nausea?
abdominal pain	Which part does it hurt? Is it the umbilical week or the lower abdominal pain?
stomach ache	Considering that acute gastrointestinal inflammation is highly probable, and that stomach ache can be evident if there is a history of stomach disease, it is recommended that attention be paid to the diet and that it avoid salivating crude Firebase foods such as oily, cold and vegetable fruit,
abdominal pain	Male right-hand abdominal pain is generally considered for intestinal diseases or for appendicitis and urinary urinary urinary rock.
gastrointestinal discomfort	Discomfort symptoms of intestinal tract and intestinal analgesic pain are regulated. Yes.
loose stool	Is that always the case? A couple of times a day.Poo-poo?
diarrhea	Any diarrhea? Is piss normal?
disgusting	Hello, have you ever vomited? Or just nauseous.
diarrhea,loose stool	How many times a day do you have to take a diarrhea or water?
heat	Have you been to Wuhan recently or have you had contact with anyone who came back from Wuhan? Have you got a fever?
stomach ache,abdominal distention	You're welcome. Is it a pain in the stomach or a pain in the strangulation?
diarrhea,disgusting	Diarrheal nausea improves and then eats a week of bacillus.
sticky stool	Hello. How long has this been going on? Is there any slime in the shit?
loose stool	(Music) (Music)
black poo	How's the shit? Is there something wrong with it?
indigestion	Most of them are indigestion. Let's eat a box of Megapolis for the gastrointestinal worms. If there is an increase in symptoms, it is recommended that the gastric mirrors be examined first.
indigestion	Indigestion is more likely.
helicobacter infection	Or a phantom screw.
indigestion	You're still indigestion, spleen.
abdominal distention	If the stomach is going to work, the drug can be continued. There are stomach swollen symptoms, and it is recommended that Mobile be added.
hiccup,counter-current,abdominal distention	Hiccup, anti-acid abdominal swelling? Piety routine?
blood in stool	I don't know what you're talking about. I don't know what you're talking about.
urgent urination,frequent urination	There's no urinal rush.
difficult eating	You're welcome. You can slow down if you don't want to eat. Have some congee or something.
disgusting	Take a look at the individual temperature first. Also, the pill should be kept as low as possible. Is it still disgusting?
diarrhea	I'm sorry.
diarrhea	What does it look like when you're having a diarrhea?
sticky stool	I'm sorry, I'm sorry. I'm sorry.
abdominal pain	Does it hurt?
diarrhea	It has nothing to do with eating.
heat	Yeah, it's not a big problem if there's no fever. Just a few days of oatmeal.
heat,counter-current	Excuse me, do you have a fever, anti-acid, vomiting?
