symptoms	sentences
abdominal distention	Sometimes the stomach doesn't feel well, sometimes the stomach swells and shits, sometimes the color goes deep and white and sometimes there's white in the color and sometimes there's a grain of white in it. (Men, 17 years old)
gastrointestinal discomfort	Is this my stomach?
diarrhea	It's so thin, it's so cold, it's so cold, it's a headache. Ask me what's going on.
diarrhea	I don't know what it is.
frustration	I can't stand it on my limbs.
stomach ache,abdominal pain	The woman is 37 years old, below the chest, with pain in the stomach, pain in the stomach, and a little more pressure. After a few minutes of self-improvement, and for about 10 days in January, he bought his own stomach medicine and recently started to suffer, and his medication was not effective.(Woman, 36 years old)
gastrointestinal discomfort	So, am I having a bad stomach or a liver, if I go to the hospital and hang out with that unit.
stomach ache,abdominal distention	The abdominal swollen device refers to liver urchins and has not been to the hospital and has bought the upper ones because of stomach pains.
ventilation	I'm sorry, I'm sorry, I'm sorry, I'm sorry.
abdominal distention	No obvious abdominal swelling.
frustration,diarrhea,heat,sore throat,dehydration	My husband suddenly had a diarrhea two times yesterday morning, and then he went to the local clinic to treat dehydrate left-oxyfluramid diarrhea disinfection.
heat	When the fever is 39 degrees up and down, sometimes it's 37 degrees-37. Up to 37 degrees normal 4.
sore throat	The pain in the throat. Take something to relieve it.
disgusting	What's it like to be sick in the stomach these last two days?
disgusting	These two days have passed since recently, and the symptoms of discomfort, regardless of the period of time, are that the stomach is filled with a feeling of vomiting.
difficult eating	These two days have been more anorexic.
difficult eating	I don't want to eat until I eat.
difficult eating	These two days have been more anorexic.
counter-current	It's always been the stomach acid for a while, and it's been refluxing. The recent radiation pain in the back of the ribs is related to stomach disease (Men, 29 years old)
back pain	Does it hurt in the back of the gall bladder problem?
counter-current	And I've been feeling a little acidic on the left side of my neck for a couple of days, and I feel a little uncomfortable around my throat.
hiccup	I can't get out of my stomach, I can't get out of it, I can't feel it, I can't feel it, I can't feel it.
abdominal pain	No abdominal pain, just cesspitting, not tweaking.
abdominal distention	My stomach doesn't swell, it's my stomach.
hiccup,ventilation,counter-current	Water, water, water.
heat	I had a fever on the first night...
difficult eating	If you don't want to eat, you can just drink water.
blood in stool,stomach ache	Hello, I'm shit with blood. After dinner at night, my stomach hurts.(female, 27 years old)
gastrointestinal discomfort	When I found out last Sunday, my stomach wasn't feeling well on Monday night.
diarrhea,gastrointestinal discomfort	Hello, there's something wrong with you that my aunt asked me about having a diarrhea, but I can't feel it.
abdominal pain	Right abdominal pain, 2/3 days.
disgusting	Aunty hasn't been here for the last three days trying to be sick.
hiccup,abdominal distention	(Fergus, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric, esoteric)
hot heart	No vomiting and no burning hearts.
abdominal pain	A little tummy pain before.
gastrointestinal discomfort	Two months ago, he did the intestinal mirror, and now he's feeling a little uncomfortable. There's no need for the intestinal mirror.
abdominal pain	It's normal to poop, but sometimes it hurts a little.
stomach ache,abdominal distention	What do you take these days because you eat too much?
abdominal distention	The point is that when you drink water, your stomach is particularly swollen.
disgusting	There's no appetite for food, and then there's a feeling of vomiting some time after eating. It works, but it's only been two days, and I don't know if it'll come back after it's stopped? (Men, 24 years old)
difficult eating,disgusting,counter-current,stomach ache	At that time, there would be anti-acid conditions in the stomach, there would be no anti-acid water and no pain in the stomach, either because the appetite was bad or because the food would soon be vomiting, but it would not come out. It'll take another hour or two to ease the situation.
disgusting,mental distress,frustration,diarrhea,abdominal pain	If you eat something, you have stomach pain, tummy, dizziness, nausea, sleepy, sleepy for a week. What do you want next month? Better not have too much side effects. Thank you, doctor.(female, 27 years old)
diarrhea,loose stool,abdominal pain	The first two days are diarrhea. I've had a stomachache for about half an hour in the past few days.
diarrhea	I loved someone who had a tummy for a day, and then I started diarrhea, and I thought it was bad food.
frustration,disgusting,abdominal pain	But he's done it all day long, and he's done it more than 10 times, and he won't do it the next day. But I lasted a week, and it was disgusting, dizzy, boring. It hurts if you eat something. But this week, the food was very careful, and it wasn't good.
disgusting,diarrhea,stomach ache,abdominal pain,counter-current	Without anti-acid, the stomach doesn't hurt much, but it's tummy, tummy, nausea.
abdominal pain	It hurts on the lower right side of my belly after eating, and it stinks under my crotch.
bowel sound,indigestion,abdominal pain	The stomach is always grunt, and sometimes it hurts, and it's a little indigestion. What's the matter with the doctor?
hiccup,counter-current	Anti-acid no, a little hiccup.
bowel sound	Why do you say that when you're eating?
abdominal distention	Sometimes a little of pain can be associated with the swelling.
stomach ache	Can you drink the oral fluid of the monkey mushrooms for stomach pains?
diarrhea,bowel sound,ventilation	The intestines, the farts stink.(Men, 20 years old)
loose stool	At first, I ate the intestinal linoleum, but it didn't.
frustration	The first day I pulled water, I couldn't help myself.
abdominal distention	— I'm hungry.
blood in stool,stomach ache	At age 28, there's some hidden pain on both sides of the stomach, a few days of tummy, a little of blood on the feces, a little hidden pain in the stomach, but for a while.
hot heart	It's been two days since my stomach got a little burned.
sore throat,cough	I've got a sore throat.
cough	Oh, but I think one's treating cough and one's treating snot.
abdominal pain	A tummy hurts in bed every morning and wants to go to the bathroom. It can't be cold every night, please. Thank you.
loose stool,counter-current	I've done gastric mirrors before. It's chronic shallow gastric inflammation, cerebral reflux. He's been taking pills for over a month. It's all right. He stopped his medication for a few days. But shit doesn't look good, what to do. The drugs that were taken were Referral, aluminum magnesium mixed with Malay acid.(Woman, 23 years old)
diarrhea,counter-current	Is that so? I'm actually getting thinner this time before I do my stomach mirror. The cerebral reflux went to the hospital a few days later.
loose stool	I ate that aluminum magnesium before. I don't know. Furthermore, I don't know. Furthermore, I don't know.
sticky stool,diarrhea,abdominal pain	Lately, there may be sudden stomach pains (mostly in the morning or between noon), sometimes in the toilet, sometimes in the tummy (the poop is sometimes sticky, sometimes in foam, sometimes in the dry) and sometimes in the toilet it is a feeling of gas in the stomach.(Woman, 20 years old)
black poo,abdominal pain	I just had a stomachache and found the shit black, and I ate eggplant yesterday.
diarrhea	The constipation does not seem to be the case, except that sometimes the poop is dryer and diarrhea is often felt.
loose stool,bowel sound,abdominal distention	What's the best medicine if you don't have to intestinal gastric insomnia? (Woman, 43 years old)
difficult eating,bowel sound	After 20 years of insomnia, there was a lack of appetite, a lot of menstruation, a lot of decomposition, a lot of intestines, and a lot of intestines.
gastrointestinal discomfort	It is also mainly caused by bad gastrointestinal conditions, which, in the first place, were caused by insomnia and previously by bad gastrointestinal conditions.
abdominal distention	The first was insomnia, chronic insomnia, shallow sleep, and no treatment.
restlessness	Anxiety, irritability, cynicism, and irritation of a small matter.
bowel sound	It's a bit of an effect. The shit's in shape, the intestines are light, and they're still eating.
gastrointestinal discomfort	I'm asking why it's bad for the stomach after insomnia?
disgusting,back pain	What's with the backache and the nausea?
hiccup,disgusting,restlessness,stomach ache,counter-current	Hello, Doctor. I've had chronic stomach fever in my stomach mirrors a few years ago. I've had bad eating habits in recent months, sometimes less and sometimes more. I haven't felt hungry in more than a month, and my stomach is not as painful as it was before. It's sick, anti-acid, cold, empty. I can't even feel it. I can't eat it, I can't eat it, I can't eat it, I can't feel it, I can't spit it out, I can't spit it out, I can't feel anything in my throat, I can't swallow it, I feel weird, my throat is cold, the parts on my stomach are burning, and I'm not in my mood all day, and I'm upset. It's good to eat. You want to eat, you don't feel well. There's a desire for shit, but sometimes it doesn't come out. Want to know if it's a symptom of reflux gastric inflammation? Is it severe? Do you want to go to the hospital for a gastric mirror?
loose stool	Most times they don't look good.
heat,abdominal pain	From yesterday until today, the tummy has been aching. Eight shits. 37 was measured last night. Three degrees, what do you want me to take?
diarrhea,abdominal pain	Hello, doctor. After my love's medicine, it's still thin, and after dinner, my stomach hurts, and my stomach is tumbling.
hiccup	Three days ago, there were repeated attacks in the middle of the hiccup, and now there are more burps. What is the reason? (Men, 27 years old)
hiccup	No, just hung up the night before the hiccup.
disgusting,abdominal distention,frustration,diarrhea,counter-current,hot heart	Hello, Doctor. I'm seven and a half months after delivery, and I'm still breastfeeding. Starting in June, I often felt abdominal swelling at 4:00 or 5:00 p.m., weak, mildly vomiting and unsatisfied. It'll ease up by night. There is frequent constipation and occasional diarrhea. At times, stomach acids feel like burning their stomachs. Sometimes the sound of intestinal grunts is heard at night. At present, the number of breast-feeding meals is high, but because of the need to take the children to bed, there is usually less exercise after the meal. Many years ago, it was diagnosed as a back stream, and it is now occasional. How am I supposed to manage my situation? I don't want to do pain-free mirrors during breastfeeding, and I can't accept regular stomach lenses.(Woman, 32 years old)
hiccup	It'll be a lot more comfortable with the burps coming out after 5:00 p.m. A little less at noon in recent days, and it will be better in the afternoon.
stomach ache	A little stomach aches.
stomach ache	No, yesterday at 3 p.m., at 5 p.m., the stomach ache, after lunch today, and after vomiting, the stomach ache.
abdominal pain	Doctor, you've just had a drink, you've got a stomachache, you've eaten it, you've gone out, you've got a heart attack, you've just seen Pet say you can't drink, you're scared.
abdominal pain	I've had a stomachache for a while, but I've been drinking. It's hot, it's a stomach ache, lower right, and now it's going to hurt.
hiccup,abdominal distention	Doctor, my mother had a cold the previous time, had taken the flu Octave, and then had a cold and a stomach swelling, and when she stood up, she had to bilge and lay down, and it was usually good in the morning, and it started to feel bad in the afternoon. My mother said that she had an irritation on her head, and that it would be all right when she emptied. The day before yesterday, the doctor gave me Moshapoli and the emulsion tablets. The others didn't eat them. Two days of Moshapoli and the emulsion tablets. They're almost normal in the day, they start to bloated after 6 p.m., they're a little slaves today, but it's okay to eat during the day. Do you think the doctor needs to take the pills or change them?
gastrointestinal discomfort	The stomach's a little uncomfortable when the cold's ready, because after last year's truffle, the stomach's been in pain for a while, and it's been pretty serious lately.
abdominal distention,hot heart	After the missals, the day is not too bad, it starts to get a little swollen after 4:00 p.m., slowly getting a little worse, getting a little swollen at 6:00, and occasionally getting a little hot.
gastrointestinal discomfort	After sitting for a long time, I feel a little sick in my stomach, like there's a gas in my stomach. What's going on?
bitterness in the mouth,abdominal distention	My man, Dr. Zhang, is 55 years old, wakes up in the middle of the night, he's so bitter, he's got a diarrhea in his left abdomen, and he's been in hospital for six months. At the end of last year, tests, stomachs, livers, gall bladders, films (glossy, nuclear magnets) are normal, but I've had a stomach spiral bacterium before, and I've been cured. I'll see what I can do.
helicobacter infection	My phantom spiral bacterium checked normal.
ventilation,indigestion,abdominal pain	It's not well digested, especially farts, one by one, a stomachache without farts.(Men, 27 years old)
ventilation	It's a special fart.
abdominal distention	Schizo.
ventilation,abdominal distention	The rest is normal. It's just a tummy. It's just a constant fart.
loose stool	Sometimes it's too big, it's too much.
abdominal pain	If you've been in a car long enough to hold your ass, your stomach hurts.
diarrhea,abdominal pain	Abdominal diarrhea for four days. It hurts for a while. They're all rare. Is this acute gastrointestinal or appendix? It's been two days since you took the medication for gastrointestinal inflammation. The first food was fluorine, and the feeling was that the side effects were great, and then the saffron was replaced.(Men, 21 years old)
heat,disgusting	No nausea, vomit. It was a little hot yesterday.
diarrhea	It doesn't have to be, it hurts. Go to the bathroom for a diarrhea.
abdominal distention	The tummy is sore. What's going on?
abdominal distention	No, it's just recently, every time it's close to work, it starts to swell around 5:00.
abdominal distention	No, it's normal to defecate. It doesn't hurt every day, but occasionally it hurts.
abdominal distention	I'm inflated and I'm drinking salami.
abdominal distention	Mm-hmm. We'll see about that later, or the winter's not so good. Thank you.
gastrointestinal discomfort	After breakfast in the morning, I feel sick and want to go to the bathroom.
difficult eating,disgusting	He's got a cold, he's at the hospital, he's taking his medication, he's feeling dizzy, sick, he's a little scared, he's sick, he's hot, but he's not out. What's going on?
diarrhea,heat	No diarrhea, no fever, no bodyrmometers.
difficult eating	Most of the time, they sleep, they can't eat.
disgusting	Eat a little more and it's disgusting.
diarrhea,loose stool,gastrointestinal discomfort	It's been a long time since I've had a bad gastrointestinal function, and I've had a bad day, and I've had intestinal irritation, Malley curly pudding, and an improvement in my whole intestinal life. It's normal this morning. I've had rare rice and onion cakes this morning, rice at noon, pasta and chicken soup, diarrhea two hours ago, water samples. What's the reason? (Men, 46 years old)
abdominal distention	I'm sorry, I'm sorry, I'm sorry.
cough,abdominal pain	Sometimes when coughing, the stomach hurts, the chest is stunned, the hand is hot and the fire is easy.
helicobacter infection,abdominal distention,gastrointestinal discomfort	I had stomach mirrors two years ago, shallow gastric inflammation, phantom screws superscription, and now my stomach's sick, it's swollen, and my throat's not comfortable.
hiccup	I don't know if I can swallow or eat, but I can't get a burp.
diarrhea,loose stool,bowel sound,abdominal pain	Every time I eat, I want to shit, shit, shit, shit. It's been months, my ass is sick, my stomach is grunt, my sandpaper is bleeding, sometimes my stomach hurts, it's just a little longer.
sticky stool	Males, born in 68 years, are in a condition of viscosity and sometimes impurity, especially when taking a piss, sometimes leaking some shit on their underpants. In about five years, there are two parts of each year, about the turn of spring and summer and the turn of autumn and winter each year (this is also the case at all times). Excuse me, Doctor, what kind of medicine should I take? Thank you.
hiccup,helicobacter infection	The husband has a phantom screw. There's no cure yet uncertain. Now I'm eating and drinking water and hiccup, just like his symptoms before him. I suspect I'm infected. I'm still pregnant. Can I be treated? How?
helicobacter infection	My husband's phantom snails have now become stomach ailment for two months!
hiccup	Now it's burp after you've had a drink of water!
disgusting	There's some nausea now. I don't know if it's pregnancy or not in three months.
diarrhea,bowel sound,stomach ache,abdominal pain	Doctor, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain, you're in pain.
stomach ache	I'll be asleep after noon. My stomach hurts right now.
stomach ache	The stomach, the stomach, the stomach.
diarrhea	Just had a diarrhea.
bowel sound	My tummy's barking right now.
disgusting	Yeah, gross.
diarrhea	Diarrhea.
disgusting	I lost three bottles of fluid, and it's still disgusting.
difficult eating	I can't eat anything, doctor. I can't eat anything.
stomach ache	I still have a stomach ache.
diarrhea	I'm having a diarrhea again.
stomach ache	The gastrointestinal gastrointestinal gastrointestinal tract.
stomach ache,gastrointestinal discomfort	The stomach was uncomfortable for some time now, but either it hurts too much or it hurts a bit in the back of the left shoulder when it hurts, and it feels lighter when it shits, like it's not digested, and I eat faster, and I have a habit of drinking water while eating. Ask if it's a stomach problem, because the food at the university canteen is so greasy that it doesn't feel good right now, and ask what kind of stomach disease is.(Men, 18 years old)
black poo,loose stool	It's like it's gone, and once it's too dark to go to the bathroom, and then it's gone.
abdominal distention	Oh, my God. Oh, my God.
gastrointestinal dysfunction,counter-current,indigestion	A lot of snacks before bed yesterday, anti-acid water before bed, poop at about 8 a.m., shape, but less, more in an hour, more, shape, but not for the first time, before lunch, before bed. What's the reason for that?
stomach ache	Okay, stomach pains. Take this medicine.
diarrhea	Now it's a little nausea, a little tummy, a little pain, me.
difficult eating	I don't want to eat.
disgusting,abdominal distention	Courage abstinence, inflammation and repetition. After three weeks of medication, it will happen again in a few days. Otherwise, it will be nauseous, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea, nausea. Alternating happens. The digital, the Terra are wrong and eat it all the time. The tongue is so boring.
stomach ache,disgusting,counter-current,abdominal distention	There's no anti-acid (with acid water reaching the throat). It's common stomach pains and nausea. The nausea of the nausea and the larynx position in the stomach is a little typhoid.
disgusting	None of this is for food. It was also coordinated with Chinese medicine because of brushing teeth and the nausea of morning and evening.
hiccup,counter-current	Isn't that the same type of cerebral aphrodisiac and stomach sclerosis? I have not reached my throat with pneumatic acid.
disgusting	What do you mean, do you mean, do you eat rash-to-tots, when you're sick and sick, and you're sick, and you're sick, and you're sick, and you're sick? I'm sick and sick, and I'm going to eat my stomach all over my stomach.
disgusting	I've been preparing for an emergency, but I don't feel like he's going to be able to stop the nausea, so I've got to get my stomach back. So I'll use two more Megapolis in Hangzhou Oak as a regular drug.
disgusting	What I am talking about is that stomach recovery is not used as a regular drug, that it is sometimes a sudden nausea, that it seems to be better to have a stomach recovery and that it has a central inhibition. Dixie can't stop evil.
disgusting,abdominal distention,hot heart	Dr. Rowe, good morning. Yesterday, another question was forgotten: apart from urchins and sometimes nausea, morning stomachs are burning and do not want to eat much. Besides, can I take my Chinese medicine together?
heart attack,disgusting,counter-current	Doctor, every day at 4:00 and 5:00 p.m., there's nausea and panic. Is this a timid backlash? It's not all right. This is the case for Dixie. Do you need to continue eating the routine medicine with Movable?
helicobacter infection	Last week's medical examination found phantom Brewster positive + and amino acid transfer enzyme 112. Is the doctor serious (female, 38 years old)
helicobacter infection	I'm sorry, I'm sorry.
loose stool,abdominal distention,abdominal pain	If you eat a little of rice, you'll grow up, you'll have a pain in your belly around your belly, and you'll have to take it out of your stomach.
loose stool	It's like shit doesn't look like shit.
diarrhea	Diarrhea.
abdominal pain	It used to be normal, just a little pain in the stomach when you had to take a shit.
abdominal distention	Recently, I've been in the hospital for a month.
loose stool,indigestion	It's just a feeling of indigestion, and shit doesn't look good.
abdominal pain	Then I'll just have to take a tummy. What's going on?
diarrhea	If you eat cold and hot, you have tummy. Is it intestinal inflammation?
abdominal pain	Sometimes there's sudden upper abdominal pain.
stomach ache	It's like a stomach ache.
gastrointestinal discomfort	What kind of medicine should I take if my intestines don't absorb well?
indigestion	Eat what pulls what's indigestion?
diarrhea,blood in stool,gastrointestinal discomfort	I'm sick of my stomach, like a bad stomach, and I'm bleeding a lot of shit. (Men, 20 years old)
hemorrhoid	It started three years ago with a little blood and then hemorrhoids.
gastrointestinal discomfort,abdominal pain	Two months ago, in the middle of the night, the stomach aches to the toilet, and after that, a lot of blood was found, and today, too, the stomach was sick, the toilet was in the toilet, and there was a lot of blood.
hemorrhoid	I have hemorrhoids, and sometimes the shit feels like it's going down.
hemorrhoid,abdominal pain	But does hemorrhoids hurt my stomach?
abdominal pain	When I was in school, I woke up in the middle of the night with a pain in my stomach and then shed a lot of blood.
hemorrhoid	It hurts when I'm bleeding. I've had hemorrhoids for over three years.
hemorrhoid	I don't care about hemorrhoids.
diarrhea,difficulty breathing	Doctor, I had a little diarrhea last night, and I had a big cup of coffee at 8 p.m., and when I went to the hospital, I couldn't walk and breathe by myself.
diarrhea	I'll be fine if I eat bananas when I've had an empty cup of coffee yesterday.
diarrhea	We had an empty tomato in our stomachs yesterday, and it was thin once, and it was normal this morning.
abdominal pain	I've got a pain in my chest.
hiccup,bowel sound,abdominal distention	The stomach swells after a dry meal and hears a tummy grunt (Men, 30 years old)
difficult eating	It's normal for a week to start a cold, and now it's better to have a cold.
black poo,disgusting,stomach ache	My stomach hurts, I feel a hard stomach, it lasts around a week, and it was stronger last night and tonight. I feel thirsty and want to eat cold. I don't want to spit or pull. The shit's a black piece of shit.(Men, 25 years old)
seung jo	No allergies. Thank you.
stomach ache	He's got stomach pains. He's been in pain for days.
stomach ache	Suddenly the stomach hurts over the last few days.
abdominal pain	I don't know what you're talking about.
counter-current,stomach ache,hot heart	I had a stomach ache six months ago and a heartburn. After a gastric mirror examination, which consisted of a hysteria door, lax phantom muscles, backsliding of the gastric esophagus, the doctor opened the Angola intestinal solution and then took control of it. Later on, he was busy and ate a Ransom salivate before he went to bed every day. I've been eating for over six months. I don't feel good about it lately. Furthermore, I don't feel good about it.(Men, 43 years old)
indigestion,counter-current,abdominal distention,hot heart	I haven't taken my medicine in two days. I feel a little hot. Furthermore, I don't feel sour. No, it doesn't. It doesn't feel well digested. It's not hungry until lunchtime.
bitterness in the mouth	It's bitter in your mouth. I've had a stomach cold the other day, and I've been better today, but I've been feeling bitter.
heat	Do the painless mirror today. But does it feel a little hot when you're done with your medicine?
hiccup,disgusting,spasms,stomach ache,chest pain,back pain	Twenty-eight days after the birth of the child, the tenth day of the month was disgusting, and the whole back spasm was alleviated in half an hour. I'm sorry, I'm sorry, I'm sorry, I'm sorry. Fifteen nights of nausea, pain in the neck behind the back of the chest, lateral and increasingly severe, with the bone feeling cool and cold, then the pain goes down, and it goes down to the waist. The gastric pain during massages. I'm sorry, I'm sorry, I'm sorry, I'm sorry. It's the same thing 16 nights later, it's the first time it hurts, and it's the same thing as it goes down. I'm sorry, I'm sorry, I'm sorry, I'm sorry. No nausea during the day; chicken cake at 11:00 p.m., mild nausea in the early morning, pain in the back of the stomach a few minutes later, inflammation of the side bed and loss of symptoms after hiccup. I'm sorry, I'm sorry, I'm sorry, I'm sorry. There were no symptoms during the day and a slight nausea followed by a chicken cake in the afternoon.(Woman, 26 years old)
diarrhea,disgusting,hiccup	No diarrhea is nausea. Sometimes you can't get hiccups. Sometimes you can't feel vomiting.
hiccup,disgusting	After eating the chicken cake today, it's a little better to burp with a hot water bag, and the rest of the time it's disgusting, and it's a relief to burp.
difficult eating,spasms	When I was 18, I couldn't eat for about a week, I was not hungry, I didn't eat, I didn't feel anything, I didn't feel tired, I felt like a convulsion in my stomach, I had a check-up and I just had to take a gastrointestinal worm.
back pain	My back pain wasn't caused by the stomach.
disgusting,back pain,gastrointestinal discomfort	I always get nauseous first, my stomach gets particularly uncomfortable and then responds to back pain.
disgusting	It's not disgusting. It's just fine.
diarrhea,abdominal distention	The lower left belly is particularly swollen. It's going to take a lot of effort. It's thinning. Diarrhoea. It's been months. It's getting worse now.(Men, 54 years old)
abdominal distention,abdominal pain	It's the lower belly. The pressure still hurts.
disgusting,abdominal distention,abdominal pain	Disgusting. What's the matter with the abdominal pain?
hunger,stomach ache	My stomach hurts, my food hurts, I'm hungry at night, I've been eating Ribeira's foils for the last three days, Rappers, Propolis, three days won't have much effect, I ate lobsters the other day, and I had a drink at the beginning of the month, but it's been a long time.
hiccup	Or a hiccup would be a little more comfortable.
hiccup	But before that, I felt like I couldn't burp after dinner. I couldn't burp out.
seung jo	I'll be right back.
ventilation	Bullshit. The stomach's not feeling well when it sleeps anyway.
indigestion	Indigestion. This one's got some emulsifiers. Can't.
diarrhea,loose stool	I haven't had a lot of shit in the last few days. It's been 23 days. It's no use 34 times a day. What do you want to do about it?
disgusting,gastrointestinal discomfort	I don't know what you're talking about.
hunger	Not good, always feeling not hungry.
abdominal distention	— I'm hungry.
abdominal distention	(you u u u up)
stomach ache	What kind of medicine is it?
disgusting	Dizziness, nausea, taxation, feeling a little dizzy yesterday morning, thinking I didn't rest until 3 a.m. to sleep and eat greasy noodles, eating whole intestinal and gastrointestinal particles at night and 39 stomachs, still dry, feeling a little dizzy, having some acute gastrointestinal inflammation, having to go to the hospital and not going to the nearest hospital, wondering if the symptoms were acute gastroenteritis (women, 22 years old)
heat	The head is a little hot, as it was yesterday, but the temperature has always been normal, with acute gastrointestinal inflammation, irregularity or eating problems.
disgusting,gastrointestinal discomfort,abdominal pain	No abdominal pain, stomach pain, nausea, nausea, soft poop.
heat,disgusting	I ate whole intestinal and gastrointestinal particles and three or nine stomachs, which I started last night, and it's still dry, nausea, a little of a fever on my head, but the temperature was 36.7
diarrhea,disgusting	I just went to the infusion, two bottles, one bottle of water, the other one of what I don't know, coming back or dizziness, nausea, and the temperature's rising. Four, this morning, 36. Seven just checked 37. One, that's what's going on.
helicobacter infection	What kind of symptoms are phantom screws?
